"dia","reserves"
2016-05-06,128
2016-05-07,149
2016-05-08,148
2016-05-09,168
2016-05-10,153
2016-05-11,132
2016-05-12,271
2016-05-13,237
2016-05-14,154
2016-05-15,187
2016-05-16,219
2016-05-17,228
2016-05-18,136
2016-05-19,264
2016-05-20,227
2016-05-21,191
2016-05-22,129
2016-05-23,134
2016-05-24,221
2016-05-25,109
2016-05-26,276
2016-05-27,96
2016-05-28,95
2016-05-29,185
2016-05-30,189
2016-05-31,200
2016-06-01,133
2016-06-02,266
2016-06-03,192
2016-06-04,151
2016-06-05,107
2016-06-06,230
2016-06-07,146
2016-06-08,200
2016-06-09,223
2016-06-10,196
2016-06-11,101
2016-06-12,224
2016-06-13,130
2016-06-14,229
2016-06-15,284
2016-06-16,149
2016-06-17,321
2016-06-18,131
2016-06-19,122
2016-06-20,205
2016-06-21,132
2016-06-22,116
2016-06-23,131
2016-06-24,273
2016-06-25,79
2016-06-26,226
2016-06-27,184
2016-06-28,133
2016-06-29,93
2016-06-30,183
2016-07-01,173
2016-07-02,134
2016-07-03,117
2016-07-04,148
2016-07-05,108
2016-07-06,177
2016-07-07,170
2016-07-08,145
2016-07-09,141
2016-07-10,106
2016-07-11,173
2016-07-12,127
2016-07-13,118
2016-07-14,160
2016-07-15,141
2016-07-16,176
2016-07-17,126
2016-07-18,184
2016-07-19,105
2016-07-20,149
2016-07-21,216
2016-07-22,127
2016-07-23,197
2016-07-24,130
2016-07-25,173
2016-07-26,113
2016-07-27,143
2016-07-28,153
2016-07-29,107
2016-07-30,209
2016-07-31,114
2016-08-01,214
2016-08-02,137
2016-08-03,143
2016-08-04,175
2016-08-05,156
2016-08-06,158
2016-08-07,137
2016-08-08,210
2016-08-09,122
2016-08-10,139
2016-08-11,192
2016-08-12,172
2016-08-13,213
2016-08-14,138
2016-08-15,177
2016-08-16,158
2016-08-17,146
2016-08-18,232
2016-08-19,165
2016-08-20,198
2016-08-21,153
2016-08-22,187
2016-08-23,116
2016-08-24,150
2016-08-25,168
2016-08-26,170
2016-08-27,139
2016-08-28,167
2016-08-29,164
2016-08-30,132
2016-08-31,127
2016-09-01,193
2016-09-02,174
2016-09-03,178
2016-09-04,132
2016-09-05,185
2016-09-06,99
2016-09-07,133
2016-09-08,212
2016-09-09,221
2016-09-10,115
2016-09-11,172
2016-09-12,173
2016-09-13,166
2016-09-14,128
2016-09-15,313
2016-09-16,217
2016-09-17,120
2016-09-18,174
2016-09-19,230
2016-09-20,208
2016-09-21,208
2016-09-22,193
2016-09-23,140
2016-09-24,122
2016-09-25,155
2016-09-26,304
2016-09-27,122
2016-09-28,136
2016-09-29,182
2016-09-30,286
2016-10-01,184
2016-10-02,150
2016-10-03,199
2016-10-04,156
2016-10-05,189
2016-10-06,288
2016-10-07,184
2016-10-08,129
2016-10-09,214
2016-10-10,213
2016-10-11,182
2016-10-12,255
2016-10-13,344
2016-10-14,194
2016-10-15,130
2016-10-16,281
2016-10-17,209
2016-10-18,136
2016-10-19,125
2016-10-20,247
2016-10-21,247
2016-10-22,175
2016-10-23,192
2016-10-24,136
2016-10-25,155
2016-10-26,156
2016-10-27,194
2016-10-28,332
2016-10-29,239
2016-10-30,214
2016-10-31,147
2016-11-01,211
2016-11-02,143
2016-11-03,229
2016-11-04,237
2016-11-05,214
2016-11-06,122
2016-11-07,365
2016-11-08,87
2016-11-09,75
2016-11-10,147
2016-11-11,208
2016-11-12,146
2016-11-13,126
2016-11-14,142
2016-11-15,95
2016-11-16,130
2016-11-17,158
2016-11-18,205
2016-11-19,138
2016-11-20,93
2016-11-21,182
2016-11-22,76
2016-11-23,104
2016-11-24,118
2016-11-25,191
2016-11-26,117
2016-11-27,81
2016-11-28,118
2016-11-29,109
2016-11-30,67
2016-12-01,174
2016-12-02,199
2016-12-03,188
2016-12-04,87
2016-12-05,141
2016-12-06,91
2016-12-07,118
2016-12-08,240
2016-12-09,116
2016-12-10,99
2016-12-11,39
2016-12-12,78
2016-12-13,77
2016-12-14,77
2016-12-15,94
2016-12-16,142
2016-12-17,111
2016-12-18,62
2016-12-19,99
2016-12-20,77
2016-12-21,87
2016-12-22,125
2016-12-23,127
2016-12-24,124
2016-12-25,72
2016-12-26,164
2016-12-27,213
2016-12-28,149
2016-12-29,163
2016-12-30,237
2016-12-31,76
2017-01-01,127
2017-01-02,179
2017-01-03,123
2017-01-04,96
2017-01-05,98
2017-01-06,112
2017-01-07,83
2017-01-08,110
2017-01-09,76
2017-01-10,99
2017-01-11,61
2017-01-12,138
2017-01-13,92
2017-01-14,243
2017-01-15,66
2017-01-16,193
2017-01-17,69
2017-01-18,219
2017-01-19,123
2017-01-20,84
2017-01-21,115
2017-01-22,89
2017-01-23,172
2017-01-24,87
2017-01-25,189
2017-01-26,114
2017-01-27,150
2017-01-28,111
2017-01-29,71
2017-01-30,110
2017-01-31,74
2017-02-01,153
2017-02-02,132
2017-02-03,122
2017-02-04,154
2017-02-05,91
2017-02-06,108
2017-02-07,78
2017-02-08,73
2017-02-09,146
2017-02-10,187
2017-02-11,129
2017-02-12,200
2017-02-13,192
2017-02-14,151
2017-02-15,146
2017-02-16,129
2017-02-17,210
2017-02-18,128
2017-02-19,135
2017-02-20,174
2017-02-21,105
2017-02-22,169
2017-02-23,170
2017-02-24,152
2017-02-25,316
2017-02-26,185
2017-02-27,131
2017-02-28,102
2017-03-01,141
2017-03-02,335
2017-03-03,135
2017-03-04,85
2017-03-05,182
2017-03-06,156
2017-03-07,126
2017-03-08,95
2017-03-09,208
2017-03-10,175
2017-03-11,172
2017-03-12,115
2017-03-13,214
2017-03-14,176
2017-03-15,220
2017-03-16,177
2017-03-17,145
2017-03-18,121
2017-03-19,142
2017-03-20,167
2017-03-21,153
2017-03-22,90
2017-03-23,146
2017-03-24,189
2017-03-25,142
2017-03-26,126
2017-03-27,183
2017-03-28,88
2017-03-29,154
2017-03-30,177
2017-03-31,213
2017-04-01,132
2017-04-02,96
2017-04-03,231
2017-04-04,125
2017-04-05,252
2017-04-06,229
2017-04-07,128
2017-04-08,200
2017-04-09,273
2017-04-10,176
2017-04-11,137
2017-04-12,133
2017-04-13,242
2017-04-14,224
2017-04-15,229
2017-04-16,167
2017-04-17,174
2017-04-18,136
2017-04-19,148
2017-04-20,157
2017-04-21,223
2017-04-22,223
2017-04-23,169
2017-04-24,129
2017-04-25,110
2017-04-26,269
2017-04-27,196
2017-04-28,261
2017-04-29,330
2017-04-30,154
2017-05-01,205
2017-05-02,174
2017-05-03,213
2017-05-04,262
2017-05-05,259
2017-05-06,221
2017-05-07,136
2017-05-08,221
2017-05-09,219
2017-05-10,157
2017-05-11,204
2017-05-12,151
2017-05-13,183
2017-05-14,163
2017-05-15,320
2017-05-16,138
2017-05-17,156
2017-05-18,180
2017-05-19,316
2017-05-20,245
2017-05-21,156
2017-05-22,199
2017-05-23,159
2017-05-24,266
2017-05-25,307
2017-05-26,181
2017-05-27,133
2017-05-28,227
2017-05-29,145
2017-05-30,238
2017-05-31,171
2017-06-01,228
2017-06-02,254
2017-06-03,222
2017-06-04,145
2017-06-05,174
2017-06-06,138
2017-06-07,148
2017-06-08,337
2017-06-09,223
2017-06-10,138
2017-06-11,216
2017-06-12,180
2017-06-13,120
2017-06-14,159
2017-06-15,197
2017-06-16,184
2017-06-17,239
2017-06-18,149
2017-06-19,185
2017-06-20,168
2017-06-21,162
2017-06-22,166
2017-06-23,196
2017-06-24,167
2017-06-25,181
2017-06-26,187
2017-06-27,201
2017-06-28,222
2017-06-29,161
2017-06-30,192
2017-07-01,184
2017-07-02,146
2017-07-03,174
2017-07-04,196
2017-07-05,138
2017-07-06,199
2017-07-07,185
2017-07-08,141
2017-07-09,211
2017-07-10,186
2017-07-11,181
2017-07-12,182
2017-07-13,202
2017-07-14,127
2017-07-15,263
2017-07-16,153
2017-07-17,194
2017-07-18,150
2017-07-19,97
2017-07-20,132
2017-07-21,139
2017-07-22,204
2017-07-23,161
2017-07-24,212
2017-07-25,141
2017-07-26,161
2017-07-27,156
2017-07-28,169
2017-07-29,210
2017-07-30,134
2017-07-31,182
2017-08-01,178
2017-08-02,150
2017-08-03,176
2017-08-04,163
2017-08-05,149
2017-08-06,148
2017-08-07,202
2017-08-08,139
2017-08-09,144
2017-08-10,147
2017-08-11,126
2017-08-12,186
2017-08-13,145
2017-08-14,165
2017-08-15,160
2017-08-16,191
2017-08-17,197
2017-08-18,181
2017-08-19,188
2017-08-20,159
2017-08-21,159
2017-08-22,98
2017-08-23,126
2017-08-24,156
2017-08-25,191
2017-08-26,166
2017-08-27,174
2017-08-28,211
2017-08-29,125
2017-08-30,89
2017-08-31,134
